epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4236.38,1.01019,0.74784,0.94284,0.65978,0.6011,0.64941,0.39157,1.69809,1.25641,1.19128,0.000848969,0.000848969,0.000848969
43,4331.97,1.01914,0.73926,0.93595,0.56819,0.58392,0.57355,0.31433,1.78082,1.68388,1.2054,0.000834822,0.000834822,0.000834822
44,4433.02,1.02643,0.74378,0.94102,0.6532,0.56589,0.61257,0.37573,1.66084,1.48183,1.18174,0.000820675,0.000820675,0.000820675
45,4533.06,0.99616,0.71844,0.92787,0.54432,0.6401,0.59519,0.32415,1.67962,1.40352,1.17965,0.000806528,0.000806528,0.000806528
46,4629.44,1.03059,0.75064,0.93061,0.6842,0.49315,0.59583,0.35519,1.71747,1.49392,1.20888,0.00079238,0.00079238,0.00079238
47,4724.52,1.00222,0.72429,0.9312,0.61423,0.52821,0.55814,0.32032,1.67922,1.49601,1.18078,0.000778233,0.000778233,0.000778233
48,4821.41,1.01251,0.7229,0.92143,0.55799,0.59706,0.60833,0.35653,1.62058,1.26752,1.15633,0.000764086,0.000764086,0.000764086
49,4918.76,1.01445,0.71382,0.92464,0.61799,0.6055,0.62319,0.36553,1.6803,1.32427,1.17676,0.000749939,0.000749939,0.000749939
50,5015.18,0.9788,0.69435,0.91917,0.56999,0.57689,0.5915,0.3558,1.62602,1.45375,1.16126,0.000735792,0.000735792,0.000735792
51,5108.08,0.97041,0.69296,0.91687,0.59862,0.62309,0.6051,0.33856,1.69778,1.30526,1.19052,0.000721645,0.000721645,0.000721645
52,5200.45,0.96621,0.69418,0.91923,0.65751,0.54725,0.57077,0.31658,1.66922,1.39669,1.19492,0.000707498,0.000707498,0.000707498
53,5296.71,0.98219,0.70806,0.92394,0.55828,0.6064,0.6072,0.34796,1.67808,1.44664,1.17281,0.000693351,0.000693351,0.000693351
54,5395.07,0.9632,0.6843,0.91684,0.66871,0.55967,0.59828,0.34623,1.66204,1.48805,1.16603,0.000679204,0.000679204,0.000679204
55,5493.47,0.97207,0.69707,0.91867,0.65982,0.54395,0.60736,0.34433,1.74001,1.43458,1.19751,0.000665057,0.000665057,0.000665057
56,5592.44,0.96113,0.68682,0.92053,0.64306,0.54733,0.60907,0.3769,1.58488,1.41701,1.15044,0.000650909,0.000650909,0.000650909
57,5698.5,0.95139,0.67344,0.91274,0.64526,0.56401,0.59561,0.329,1.71346,1.3562,1.19762,0.000636762,0.000636762,0.000636762
58,5803.92,0.94696,0.67068,0.91405,0.69345,0.57979,0.64132,0.3548,1.6683,1.42744,1.17891,0.000622615,0.000622615,0.000622615
59,5908.82,0.95258,0.67432,0.91329,0.68853,0.54633,0.6201,0.36019,1.71188,1.44448,1.21906,0.000608468,0.000608468,0.000608468
60,6014.31,0.91497,0.64682,0.90446,0.64301,0.55011,0.60037,0.35607,1.57772,1.35108,1.14126,0.000594321,0.000594321,0.000594321
61,6113.05,0.96278,0.67596,0.9094,0.58892,0.56639,0.57351,0.33033,1.65149,1.373,1.17399,0.000580174,0.000580174,0.000580174
62,6212.57,0.92504,0.65622,0.90835,0.58377,0.58075,0.59113,0.33626,1.65201,1.3407,1.17989,0.000566027,0.000566027,0.000566027
63,6312.27,0.90631,0.64183,0.89894,0.62255,0.53653,0.5482,0.31205,1.62855,1.39803,1.15325,0.00055188,0.00055188,0.00055188
64,6410.49,0.91241,0.6394,0.89852,0.6392,0.543,0.56624,0.32727,1.66936,1.40759,1.18344,0.000537733,0.000537733,0.000537733
65,6508.26,0.89262,0.63759,0.89897,0.63134,0.63422,0.61544,0.37264,1.61853,1.46844,1.17817,0.000523586,0.000523586,0.000523586
66,6605.96,0.89704,0.63753,0.89774,0.61603,0.58585,0.60401,0.36164,1.68499,1.48058,1.16764,0.000509438,0.000509438,0.000509438
67,6703.25,0.88559,0.63245,0.90279,0.51766,0.65903,0.57062,0.32214,1.63083,1.35085,1.16672,0.000495291,0.000495291,0.000495291
68,6800.65,0.91128,0.63661,0.8963,0.57952,0.5962,0.56376,0.3328,1.67412,1.37322,1.17734,0.000481144,0.000481144,0.000481144
69,6898.01,0.88458,0.62392,0.89763,0.58428,0.62929,0.6077,0.34578,1.69934,1.41104,1.17376,0.000466997,0.000466997,0.000466997
70,6994.84,0.8866,0.62088,0.89692,0.60277,0.5786,0.56412,0.33016,1.63834,1.36494,1.17166,0.00045285,0.00045285,0.00045285
71,7090.9,0.87565,0.62177,0.89221,0.62471,0.56022,0.57683,0.32941,1.64014,1.41398,1.17145,0.000438703,0.000438703,0.000438703
72,7187.48,0.89269,0.63012,0.89693,0.55009,0.61499,0.55944,0.32064,1.66453,1.51992,1.18179,0.000424556,0.000424556,0.000424556
73,7283.87,0.86909,0.61084,0.88636,0.58044,0.60106,0.58166,0.34534,1.65898,1.41225,1.16025,0.000410409,0.000410409,0.000410409
74,7380.3,0.85027,0.60461,0.88731,0.63573,0.53042,0.59058,0.34625,1.69241,1.45277,1.18908,0.000396262,0.000396262,0.000396262
75,7476.67,0.86219,0.61731,0.89331,0.64561,0.54849,0.5803,0.31774,1.6668,1.45556,1.18071,0.000382115,0.000382115,0.000382115
76,7573.92,0.86477,0.61233,0.89104,0.65193,0.60183,0.62608,0.36338,1.64672,1.32554,1.18035,0.000367967,0.000367967,0.000367967
77,7670.21,0.84236,0.60887,0.89142,0.61425,0.60948,0.62364,0.35355,1.69891,1.39268,1.18124,0.00035382,0.00035382,0.00035382
78,7767.59,0.87903,0.61154,0.88591,0.67964,0.58142,0.62511,0.36107,1.66687,1.34716,1.17728,0.000339673,0.000339673,0.000339673
79,7864.46,0.81896,0.58289,0.88275,0.61497,0.60199,0.59942,0.34524,1.67217,1.46692,1.19314,0.000325526,0.000325526,0.000325526
80,7960.87,0.83738,0.59327,0.88224,0.62838,0.53391,0.59659,0.34525,1.62728,1.41799,1.15897,0.000311379,0.000311379,0.000311379
81,8058.45,0.85464,0.60317,0.88349,0.62075,0.55296,0.59038,0.34706,1.59206,1.43375,1.14311,0.000297232,0.000297232,0.000297232
82,8156.72,0.83478,0.59816,0.88117,0.59516,0.57195,0.61051,0.36132,1.61611,1.3817,1.14281,0.000283085,0.000283085,0.000283085
83,8254.56,0.84246,0.58893,0.88278,0.63993,0.55321,0.61298,0.35574,1.61045,1.35131,1.11724,0.000268938,0.000268938,0.000268938
84,8351.83,0.81922,0.58092,0.87785,0.74596,0.54024,0.63029,0.34125,1.66786,1.37028,1.13496,0.000254791,0.000254791,0.000254791
85,8448.53,0.80163,0.57903,0.87751,0.74852,0.5424,0.65976,0.37963,1.64826,1.31161,1.14832,0.000240644,0.000240644,0.000240644
86,8544.71,0.81062,0.57922,0.87521,0.69073,0.59716,0.66693,0.39043,1.66292,1.32416,1.16121,0.000226497,0.000226497,0.000226497
87,8641.86,0.80487,0.57088,0.87726,0.72459,0.54754,0.64002,0.36446,1.63308,1.36353,1.15852,0.000212349,0.000212349,0.000212349
88,8738.14,0.80501,0.57307,0.8789,0.63387,0.56867,0.60465,0.33756,1.65042,1.40039,1.15949,0.000198202,0.000198202,0.000198202
89,8835.38,0.80529,0.57935,0.87712,0.64296,0.55954,0.59128,0.35322,1.62008,1.38163,1.15256,0.000184055,0.000184055,0.000184055
90,8932.04,0.79298,0.57017,0.87382,0.61473,0.58318,0.57719,0.34033,1.65909,1.38117,1.1743,0.000169908,0.000169908,0.000169908
91,9027.1,0.75612,0.51973,0.85028,0.60319,0.56948,0.57224,0.32814,1.65273,1.41508,1.18848,0.000155761,0.000155761,0.000155761
92,9122.51,0.74514,0.50691,0.8505,0.69111,0.53077,0.58445,0.32714,1.63878,1.44987,1.16047,0.000141614,0.000141614,0.000141614
93,9220.11,0.73332,0.50095,0.84549,0.66255,0.56211,0.58695,0.33723,1.64814,1.47044,1.14457,0.000127467,0.000127467,0.000127467
94,9315.84,0.72927,0.49159,0.84327,0.6651,0.5634,0.59583,0.35122,1.653,1.46124,1.16598,0.00011332,0.00011332,0.00011332
95,9411.58,0.73205,0.49631,0.84046,0.5989,0.62769,0.5795,0.33881,1.64377,1.46438,1.15529,9.91726e-05,9.91726e-05,9.91726e-05
96,9508.97,0.71917,0.49321,0.84201,0.63109,0.59343,0.59886,0.34875,1.63299,1.4227,1.17515,8.50255e-05,8.50255e-05,8.50255e-05
97,9605.01,0.7123,0.48497,0.84472,0.64175,0.58125,0.59094,0.33887,1.63746,1.44844,1.17648,7.08784e-05,7.08784e-05,7.08784e-05
98,9700.94,0.71485,0.49152,0.84303,0.65332,0.58977,0.59882,0.3425,1.6458,1.44325,1.16529,5.67313e-05,5.67313e-05,5.67313e-05
99,9798.52,0.70389,0.47854,0.83884,0.63586,0.58062,0.59308,0.34912,1.63722,1.47238,1.14597,4.25842e-05,4.25842e-05,4.25842e-05
100,9902.84,0.69769,0.47744,0.83882,0.65499,0.5898,0.59824,0.34654,1.63219,1.46795,1.14989,2.84371e-05,2.84371e-05,2.84371e-05
